"","1","3_6_14_48","4_5_28_38_46","8_44","9_45_55_59_62","10_27","11","2_12_19","13_43","15_57","16_25_49","17","18","20","21_26_51_60","22_39_58","24","30","31","7_32","33","34","35","29_36_52_63","37","40","41","42","47","50","53","54","56","61","64","65","66","67","68_86","71","72_81","23_69_73","74","75","76","77","78","70_79_83","80","82","84","85","87","88","89","90","91"
"1",0,0,0,0.00925720805196426,0,0,0.150903693446385,0.0148650381316896,0,0,0.120873386458118,0,0,0.0180446201791752,0,0,0,0,0.0040446456235748,0.0804287118954775,0,0,0.000895158509277477,0,0.00784919930436272,0.00365524658233055,0,0.0226468099708746,0.0775977570803913,0,0,0,0.00506980078267115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439480479662542,0,0,0,0,0,0,0,0,0,0
"3_6_14_48",0,0,0,0,0,0,0,0,0,0,0,0,0.0244513097886984,0,0,0.289663653105996,0.011751707825915,0,0,0,0,0,0.155975392084107,0,0,0.00307803159636609,0,0,0,0,0.0112487697452712,0,0,0.0101259783172914,0,0,0,0,0,-0.0275646657520536,0,0,0,0,0,0.0163561438052687,0,0.0435600728185696,0,0,0.0326393844447541,0,0,0,0,0.0327336766877365,0.0254242333205128
"4_5_28_38_46",0,0,0,0,0,0,0.0509022421027952,0,0,0,0,0,0,0,0,0,0,0.0426762112313597,0,0,0,0,0,0,0,0.0457233451780207,0,0,-0.117274374810776,0,0.209125994067454,0,0,0.418172632724666,0.174194589272217,0,0,0,0.00183477701113212,-0.0676642749949076,0,-0.0238993521795007,0,0,0,0,0,0,0,-0.000426645010991412,0,0,0,-0.00169968244732514,0,0,0
"8_44",0.00925720805196426,0,0,0,0.0237144285501967,0.102501739823391,0.029012643084101,0,0,0,0,0,0,0,0.174619859426699,0,0,0,0,0,0.0910759089985338,0.053788021593291,0,0.00509012853875519,0,0.0716203356465912,0,0,0,0,0,0.0268912623816724,0,0,0,0.0141933768815545,0.089590074548057,0.0253621892942681,0.0758701419749486,0,0,0,0,0.0348710111914829,0,0.0955701115503645,0.0131992360002001,0,0,0,0,0,0,0,0,0.10091688175907,0
"9_45_55_59_62",0,0,0,0.0237144285501967,0,0.0126816534862621,0.0346022516469325,0.243995432041623,0,0.0428274043279975,0.0328387909123807,0,0,0,0,0,0,0,0.336233701859928,0.255927588126493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01840069468019,0,0,0.00453281074220654,0,0,0,0,0.0232588001709056,0,0,0,0,0,0,0,0,0,0
"10_27",0,0,0,0.102501739823391,0.0126816534862621,0,0,0.0570294118544577,0,0,0,0,0.209664029544422,0.0561176022568464,0,0,0.107670666567845,0,0.0270128048491364,0.0177783408372443,0,0,0.00471946769604941,0,0.0729401698833528,0,0.179242557379826,0.0505866622711705,0,0.117530404323988,0,0,0.0469517557555728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706778693831586,0.00292412144708886,0,0,0,0,0
"11",0.150903693446385,0,0.0509022421027952,0.029012643084101,0.0346022516469325,0,0,0,0,0.0142022055666334,0.0827878837868241,0,0,0,0,0,0,0.00996507264793181,0.111638791596997,0.0643518128137863,0,0.0353447902623242,0,0.106541798339742,0,0,0,0.0393840689337868,0.125269218498742,0,0.00564490524310938,0,0,0,0.152812078286492,0,0,0,0.0404798569172457,0,0,0,0,0,0,0,0.0737003106339662,0,0,0,0,0,0.0258182928246679,0,0,0,0
"2_12_19",0.0148650381316896,0,0,0,0.243995432041623,0.0570294118544577,0,0,0,0,0.0194982092606713,0,0,0.0104074874788844,0,0,0,0,0.0616361726542457,0.0394473754246859,0,0,0,0,0.0516989230203539,0,0.00251941659479276,0.0587734307677561,0.0500577985556624,0,0,0,0,0,0,0,0,0,0.0294826823866395,0,0,0.0320354590337765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13_43",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0743284917577616,0,0,0.00928039707852165,0,0,0,0,0,0.0334807566564272,0.292522944661024,0,0,0,0,0,0,0,0.0340865221431284,0,0,0,0,0,0,0,0,0,0,0,0.0162479576947553,0,0,0,0,0,0,0,0,0,0.0438878004392817,0.0974603060397869,0.0663348191642792,0
"15_57",0,0,0,0,0.0428274043279975,0,0.0142022055666334,0,0,0,0,0.0240423150638688,0,0,0,0,0,0.0486474956395921,0,0,0,0.262779228007537,0,0,0,0,0,0,0,0,0,0.0268565904920453,0,0,0,0,0,-0.0251600786540082,0,0,0,0.295935694205641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
