,degree,eccentricity,closeness_centrality,betweenness_centrality,degree_centrality,eigenvector_centrality,clustering
1,6,3,0.4628099173553719,0.0009684466672044312,0.10714285714285714,0.0445753351290076,0.5333333333333333
10_27,19,3,0.5957446808510638,0.023540595924664204,0.33928571428571425,0.1731600951273789,0.3742690058479532
11,13,3,0.5490196078431373,0.011810078660480228,0.23214285714285712,0.08487843880812128,0.3717948717948718
16_25_49,16,3,0.5714285714285714,0.013560150289353319,0.2857142857142857,0.11661964101520306,0.4083333333333333
7_32,12,3,0.5185185185185185,0.005323454501597935,0.21428571428571427,0.0895724722810186,0.5454545454545454
47,15,3,0.5544554455445545,0.013072819753774376,0.26785714285714285,0.10724889142887009,0.4
77,19,2,0.6021505376344086,0.026399246796099368,0.33928571428571425,0.16383733577974646,0.3333333333333333
3_6_14_48,11,3,0.5436893203883495,0.008048777332164437,0.19642857142857142,0.09161449084746268,0.3090909090909091
21_26_51_60,17,3,0.5773195876288659,0.017749753263668115,0.30357142857142855,0.14156690247646092,0.36764705882352944
22_39_58,6,3,0.49557522123893805,0.0019824332171893147,0.10714285714285714,0.048324566248388254,0.4
24,16,3,0.5714285714285714,0.012980150704913061,0.2857142857142857,0.1464127668723854,0.4083333333333333
33,19,2,0.6021505376344086,0.0202839350392878,0.33928571428571425,0.17055041534046939,0.3508771929824561
35,23,2,0.6292134831460674,0.030164242243722852,0.4107142857142857,0.20169470595135947,0.3557312252964427
42,20,2,0.6086956521739131,0.027125559585744693,0.3571428571428571,0.15653494588946473,0.33157894736842103
61,13,3,0.5490196078431373,0.011073429864606868,0.23214285714285712,0.09206399084028362,0.34615384615384615
74,19,2,0.6021505376344086,0.020275040178136295,0.33928571428571425,0.1597841404761732,0.3567251461988304
70_79_83,14,3,0.5656565656565656,0.007192153952672331,0.25,0.12684341522515571,0.45054945054945056
84,18,2,0.5957446808510638,0.012319132815745011,0.3214285714285714,0.16573801078498415,0.40522875816993464
87,13,3,0.5490196078431373,0.013269125913502277,0.23214285714285712,0.10178037134077277,0.2948717948717949
4_5_28_38_46,8,3,0.509090909090909,0.005928168312133896,0.14285714285714285,0.0503530739787287,0.25
17,14,3,0.56,0.010321846912720712,0.25,0.11318157961835372,0.3956043956043956
31,10,3,0.5436893203883495,0.008230261650580169,0.17857142857142855,0.07261365922016297,0.28888888888888886
53,15,3,0.5714285714285714,0.01772958477525992,0.26785714285714285,0.11673175680690427,0.37142857142857144
64,15,2,0.5773195876288659,0.014915539840813456,0.26785714285714285,0.11721869615089331,0.38095238095238093
71,20,2,0.6086956521739131,0.03396390630485414,0.3571428571428571,0.15652496069409694,0.30526315789473685
75,13,3,0.5490196078431373,0.009406094567294417,0.23214285714285712,0.10456671152170167,0.3974358974358974
82,8,3,0.49557522123893805,0.0032760497998013667,0.14285714285714285,0.057732337334368285,0.42857142857142855
8_44,22,2,0.6222222222222222,0.02329823626008154,0.39285714285714285,0.19456041171135258,0.36796536796536794
9_45_55_59_62,18,2,0.5957446808510638,0.0180768824234592,0.3214285714285714,0.14890639635075267,0.3660130718954248
18,20,2,0.6086956521739131,0.018487507653347134,0.3571428571428571,0.17583376097626316,0.3736842105263158
20,16,3,0.5714285714285714,0.012306119744672241,0.2857142857142857,0.14265148359920088,0.38333333333333336
34,16,3,0.5714285714285714,0.012198601906428344,0.2857142857142857,0.1470067003511898,0.4166666666666667
40,11,3,0.5384615384615384,0.005115276944359114,0.19642857142857142,0.08788861527483179,0.41818181818181815
54,19,2,0.6021505376344086,0.02112799457672307,0.33928571428571425,0.162404260847492,0.3567251461988304
66,22,2,0.6222222222222222,0.023928754033398232,0.39285714285714285,0.1934869952485913,0.3722943722943723
67,21,2,0.6153846153846154,0.017979545404218904,0.375,0.19181819653760954,0.3952380952380952
68_86,17,2,0.5894736842105263,0.01631893303210212,0.30357142857142855,0.1378399087756489,0.35294117647058826
72_81,9,3,0.5185185185185185,0.0020532223908847286,0.1607142857142857,0.08599089808436287,0.4722222222222222
88,14,3,0.56,0.01047734018228408,0.25,0.11795323749008514,0.3956043956043956
90,16,2,0.5833333333333334,0.012064400865822972,0.2857142857142857,0.1423741334788899,0.375
2_12_19,9,3,0.5045045045045045,0.002181067047218208,0.1607142857142857,0.07163358129102153,0.6388888888888888
41,21,2,0.6153846153846154,0.024139245769652325,0.375,0.17975537137236305,0.3761904761904762
56,20,3,0.6021505376344086,0.023871319241835068,0.3571428571428571,0.17705909628258595,0.3263157894736842
78,18,2,0.5957446808510638,0.019856669995400315,0.3214285714285714,0.152439837794936,0.37254901960784315
29_36_52_63,13,3,0.5544554455445545,0.012413755298692831,0.23214285714285712,0.10475700955513435,0.358974358974359
37,16,2,0.5833333333333334,0.02319033941192034,0.2857142857142857,0.11701798201725741,0.31666666666666665
50,15,3,0.56,0.014819743844037038,0.26785714285714285,0.11357807999433396,0.38095238095238093
65,17,3,0.5773195876288659,0.012035673153067182,0.30357142857142855,0.15035771623100327,0.4264705882352941
89,15,3,0.5714285714285714,0.010550788822774198,0.26785714285714285,0.12403028352351503,0.4380952380952381
13_43,9,3,0.509090909090909,0.004754639723962081,0.1607142857142857,0.0703183385226061,0.3888888888888889
30,14,3,0.5490196078431373,0.010148640933287717,0.25,0.10587089846763403,0.42857142857142855
15_57,14,3,0.5544554455445545,0.009384562320621695,0.25,0.1139449077854153,0.3956043956043956
23_69_73,8,3,0.509090909090909,0.0022151910468548096,0.14285714285714285,0.06136291205771422,0.42857142857142855
76,17,3,0.5773195876288659,0.014202173643102877,0.30357142857142855,0.14361046263477498,0.3602941176470588
85,14,3,0.5544554455445545,0.01179587457671393,0.25,0.11355058522719458,0.37362637362637363
91,20,2,0.6086956521739131,0.023970886227879414,0.3571428571428571,0.16936376837397,0.32105263157894737
80,13,3,0.56,0.004178582709161379,0.23214285714285712,0.12326810987213153,0.5128205128205128
