,degree,eccentricity,closeness_centrality,betweenness_centrality,degree_centrality,eigenvector_centrality,clustering
01,6,3,0.42857142857142855,0.0028811559549346186,0.1,0.04244176765525817,0.4
11,13,3,0.5128205128205128,0.027604691010523798,0.21666666666666667,0.10099051396166041,0.2564102564102564
16_49,10,3,0.46511627906976744,0.008920562675373792,0.16666666666666666,0.07359636034044935,0.4222222222222222
19,10,3,0.46875,0.009543069647027513,0.16666666666666666,0.08483501246889152,0.37777777777777777
20,14,3,0.5607476635514018,0.03180489497910405,0.23333333333333334,0.1572829990670843,0.26373626373626374
29,8,3,0.48,0.01313926229215442,0.13333333333333333,0.0556255091137592,0.17857142857142858
47,10,3,0.5042016806722689,0.01788637047922549,0.16666666666666666,0.0722386171848718,0.2222222222222222
2_12,11,3,0.4878048780487805,0.00953602673968656,0.18333333333333332,0.10009306750412263,0.4727272727272727
10,19,2,0.594059405940594,0.04069185397437954,0.31666666666666665,0.22213463323663166,0.27485380116959063
27,15,3,0.5607476635514018,0.03599665783980802,0.25,0.14045721346690224,0.2571428571428571
7_25_32,10,3,0.4878048780487805,0.00866244685214516,0.16666666666666666,0.08690067263081615,0.4666666666666667
37,12,3,0.5263157894736842,0.013168933511935694,0.2,0.12407224447308066,0.3787878787878788
41,14,3,0.5309734513274337,0.01749722224510878,0.23333333333333334,0.14873814165539334,0.3626373626373626
42,9,3,0.4838709677419355,0.007748473446331246,0.15,0.08900760333128621,0.2777777777777778
9_45_59_62,10,3,0.46875,0.008053638051640648,0.16666666666666666,0.0861505524251263,0.4888888888888889
31_55,10,3,0.4878048780487805,0.013006222647399803,0.16666666666666666,0.08628057733882473,0.35555555555555557
87,13,3,0.5405405405405406,0.026641278589369512,0.21666666666666667,0.14212076880943333,0.2564102564102564
3_6_14_48,5,3,0.46153846153846156,0.0026367903034154277,0.08333333333333333,0.06322761560725103,0.2
22_39_58,7,3,0.4838709677419355,0.011239886572349329,0.11666666666666667,0.04990604801237469,0.09523809523809523
24,15,3,0.5607476635514018,0.03266193702540557,0.25,0.15556577039337166,0.23809523809523808
33,16,3,0.5555555555555556,0.028900729638019314,0.26666666666666666,0.19632600621714252,0.325
35,17,3,0.5714285714285714,0.044713466215014444,0.2833333333333333,0.18735230946444678,0.22058823529411764
4_5_38_46,5,3,0.42857142857142855,0.001629731890969916,0.08333333333333333,0.04408644171532872,0.4
28,7,3,0.46511627906976744,0.005894690907262698,0.11666666666666667,0.05540679188534346,0.38095238095238093
53,12,3,0.5357142857142857,0.02650083613175414,0.2,0.10950984675299377,0.19696969696969696
61,11,3,0.5263157894736842,0.022384718368431245,0.18333333333333332,0.08641488368394554,0.21818181818181817
64,12,3,0.5042016806722689,0.01540235558749203,0.2,0.12699675198545088,0.3787878787878788
8_44,18,3,0.5555555555555556,0.02598631556404774,0.3,0.2161562298415656,0.3464052287581699
21_26_51,13,3,0.5309734513274337,0.010524567592691646,0.21666666666666667,0.17071045511225022,0.46153846153846156
34,12,3,0.5084745762711864,0.015963691245282113,0.2,0.13525434214871362,0.3333333333333333
36_52_63,10,3,0.5128205128205128,0.01475697186561659,0.16666666666666666,0.10471009221519774,0.24444444444444444
40,14,3,0.5309734513274337,0.021546646979756952,0.23333333333333334,0.13974525867042506,0.3076923076923077
56,17,3,0.5555555555555556,0.024606372562865787,0.2833333333333333,0.22104868541482428,0.34558823529411764
60,14,3,0.5357142857142857,0.019161245164138526,0.23333333333333334,0.16425618405579084,0.34065934065934067
65,13,3,0.5217391304347826,0.01733722497360455,0.21666666666666667,0.14407619123454113,0.32051282051282054
66,16,3,0.5714285714285714,0.022749340351463816,0.26666666666666666,0.19955599557157147,0.325
67,17,3,0.5454545454545454,0.037210332577365106,0.2833333333333333,0.18390870948543767,0.27205882352941174
70,8,3,0.47619047619047616,0.003049442492544751,0.13333333333333333,0.09354104918185496,0.5357142857142857
74_75,10,3,0.4878048780487805,0.010603013023417344,0.16666666666666666,0.10052687780812611,0.3111111111111111
77,11,3,0.4878048780487805,0.008125371991449996,0.18333333333333332,0.12596062376057326,0.4
79_83_85,9,3,0.47244094488188976,0.008070347703859448,0.15,0.10611816705537329,0.3611111111111111
84,17,3,0.5660377358490566,0.02151463805400556,0.2833333333333333,0.2200657489476247,0.3602941176470588
90,11,3,0.5263157894736842,0.020609301997175585,0.18333333333333332,0.11861552682236139,0.23636363636363636
18,16,3,0.5660377358490566,0.01888877480567259,0.26666666666666666,0.20184112348343727,0.35
50,12,3,0.5172413793103449,0.010281358173302193,0.2,0.13553506080443636,0.36363636363636365
89,12,3,0.5042016806722689,0.022798112003547758,0.2,0.11374609918839194,0.19696969696969696
68_86,13,3,0.5172413793103449,0.01698571329630844,0.21666666666666667,0.13280674120100971,0.3076923076923077
78,14,3,0.5263157894736842,0.028503331185792864,0.23333333333333334,0.11924724496670976,0.27472527472527475
13_43,5,3,0.425531914893617,0.0025513226761954837,0.08333333333333333,0.03741141862424161,0.2
88,10,3,0.5084745762711864,0.014204691909375773,0.16666666666666666,0.09643987355967387,0.26666666666666666
15_57,7,3,0.4444444444444444,0.0024836546474350453,0.11666666666666667,0.06396884588757086,0.47619047619047616
17,10,3,0.48,0.008083954832082876,0.16666666666666666,0.09556660073833152,0.35555555555555557
30,10,3,0.48,0.008394725668809798,0.16666666666666666,0.09768846830599713,0.37777777777777777
23_69_73,10,3,0.47619047619047616,0.0145235358426791,0.16666666666666666,0.07740384782098375,0.24444444444444444
76,9,3,0.48,0.010215827779216558,0.15,0.08885741391956135,0.3333333333333333
54,15,3,0.5357142857142857,0.026302703659627776,0.25,0.16557970339307648,0.3047619047619048
91,14,3,0.5309734513274337,0.02226614919890568,0.23333333333333334,0.14709571565615706,0.21978021978021978
82,8,3,0.47619047619047616,0.00791131450599161,0.13333333333333333,0.07804040604113432,0.17857142857142858
80,9,3,0.5042016806722689,0.008338469970137243,0.15,0.09662567373549229,0.2222222222222222
71,11,3,0.5309734513274337,0.024795397238085246,0.18333333333333332,0.09785402703092991,0.16363636363636364
72_81,4,3,0.41379310344827586,0.0005975004280089027,0.06666666666666667,0.039473755815961,0.5
