,degree,eccentricity,closeness_centrality,betweenness_centrality,degree_centrality,eigenvector_centrality,clustering
1,14,3,0.56,0.007596183003358946,0.25,0.1253325937582743,0.42857142857142855
8_44,18,2,0.5957446808510638,0.02042522949382163,0.3214285714285714,0.16503412338093415,0.3333333333333333
11,18,3,0.5894736842105263,0.02644863067212166,0.3214285714285714,0.131433968002626,0.30718954248366015
2_12_19,13,3,0.5233644859813084,0.00694038713916358,0.23214285714285712,0.10370494086758021,0.47435897435897434
16_25_49,13,3,0.56,0.010762929539573862,0.23214285714285712,0.102381387330128,0.4230769230769231
20,17,3,0.5833333333333334,0.017061258629834087,0.30357142857142855,0.1543972763023112,0.3382352941176471
31,12,3,0.5436893203883495,0.01105963037902615,0.21428571428571427,0.09685881561536745,0.3181818181818182
7_32,10,3,0.5233644859813084,0.005147342502945538,0.17857142857142855,0.08182788606374405,0.4
35,23,2,0.6292134831460674,0.042366150917302746,0.4107142857142857,0.2049204488950314,0.2924901185770751
37,14,3,0.5490196078431373,0.0072961164666168945,0.25,0.12612481855543037,0.4945054945054945
40,16,3,0.5773195876288659,0.014216065746995661,0.2857142857142857,0.1461285428818089,0.325
42,17,3,0.5833333333333334,0.017107893175979567,0.30357142857142855,0.1542365027135658,0.38235294117647056
47,18,3,0.5833333333333334,0.0280747117925888,0.3214285714285714,0.1503326601707903,0.2679738562091503
56,19,2,0.6021505376344086,0.022008369130359026,0.33928571428571425,0.18093658922475658,0.32748538011695905
78,17,3,0.5773195876288659,0.020148344969045696,0.30357142857142855,0.14501949808399267,0.33088235294117646
3_6_14_48,13,3,0.5436893203883495,0.010036606362245822,0.23214285714285712,0.11804890800356362,0.34615384615384615
18,17,2,0.5894736842105263,0.01660304732651947,0.30357142857142855,0.15505159717472455,0.36764705882352944
22_39_58,7,3,0.49122807017543857,0.0010111353293171474,0.125,0.07381099683169236,0.6190476190476191
24,20,2,0.6086956521739131,0.025650889775300622,0.3571428571428571,0.17752429577588572,0.32105263157894737
53,16,3,0.5714285714285714,0.018044995715293197,0.2857142857142857,0.13022861343857609,0.35833333333333334
61,14,2,0.5714285714285714,0.015925034367627613,0.25,0.11167566031208524,0.2967032967032967
71,10,3,0.5384615384615384,0.005587614204733118,0.17857142857142855,0.0832421712781255,0.4
77,17,3,0.5833333333333334,0.013894761557470627,0.30357142857142855,0.15961705695513367,0.38235294117647056
70_79_83,14,3,0.5544554455445545,0.010478360615914622,0.25,0.12564215297914463,0.3516483516483517
