,degree,eccentricity,closeness_centrality,betweenness_centrality,degree_centrality,eigenvector_centrality,clustering
01,11,3,0.5242718446601942,0.013573976737346125,0.2037037037037037,0.094158000448341,0.34545454545454546
3_6_14_48,13,3,0.5510204081632653,0.014284761117283254,0.24074074074074073,0.13274432411788367,0.32051282051282054
4_5_28_38_46,8,3,0.4909090909090909,0.009550577800100957,0.14814814814814814,0.05451900446436768,0.25
07,10,3,0.5294117647058824,0.011658060507716918,0.18518518518518517,0.08875961201275384,0.4222222222222222
11,15,3,0.5625,0.023809653397303752,0.2777777777777778,0.13159517847731358,0.3619047619047619
16_25_49,8,3,0.47368421052631576,0.0016610206474701266,0.14814814814814814,0.07535717588404885,0.6785714285714286
32,13,3,0.5294117647058824,0.009462532095350137,0.24074074074074073,0.12573060899108532,0.5128205128205128
29_36_52_63,9,3,0.5094339622641509,0.007589288377713107,0.16666666666666666,0.09445048819107016,0.4166666666666667
37,17,3,0.5869565217391305,0.03471650734283312,0.31481481481481477,0.1628099304628753,0.3235294117647059
47,20,2,0.6136363636363636,0.04610301412047102,0.37037037037037035,0.19729571032167997,0.2894736842105263
70,11,3,0.54,0.012200365908162267,0.2037037037037037,0.10727604960123416,0.2909090909090909
78,14,3,0.5625,0.020090733855514,0.25925925925925924,0.14026448101929798,0.4175824175824176
22_39_58,8,3,0.5192307692307693,0.007865327752533301,0.14814814814814814,0.07764838243043816,0.21428571428571427
24,16,3,0.5625,0.024484064222942147,0.2962962962962963,0.17347143254253825,0.35833333333333334
33,13,3,0.5454545454545454,0.010943617563013396,0.24074074074074073,0.14620940282311026,0.4230769230769231
35,16,3,0.574468085106383,0.024657834496116516,0.2962962962962963,0.1739727891144123,0.325
65,18,3,0.5934065934065934,0.030545895627472005,0.3333333333333333,0.1963775477404074,0.32679738562091504
71,12,3,0.5510204081632653,0.021877158754343852,0.2222222222222222,0.10060624575248467,0.21212121212121213
77,13,3,0.54,0.010479817422189935,0.24074074074074073,0.12959052554248804,0.3974358974358974
67_79_83_85,17,3,0.5869565217391305,0.02266150046049218,0.31481481481481477,0.17904218882370193,0.3235294117647059
84,19,3,0.6,0.025308989316082196,0.35185185185185186,0.22026377926072166,0.3742690058479532
87,13,3,0.5567010309278351,0.01783013181137288,0.24074074074074073,0.1306090725627014,0.3076923076923077
40,10,3,0.5294117647058824,0.010962135786869569,0.18518518518518517,0.08811031675933012,0.35555555555555557
53,15,3,0.574468085106383,0.02248005400716669,0.2777777777777778,0.14486093221215954,0.38095238095238093
31_55_62,8,3,0.46956521739130436,0.008351196289873911,0.14814814814814814,0.06334926417781125,0.32142857142857145
61,14,3,0.5684210526315789,0.030223930637710065,0.25925925925925924,0.12023214476645618,0.24175824175824176
64,8,3,0.5094339622641509,0.003241706698078308,0.14814814814814814,0.07570770191100994,0.5357142857142857
69_73,9,3,0.5046728971962616,0.008686172210038597,0.16666666666666666,0.07195314201596727,0.4166666666666667
9_45_59,11,3,0.5046728971962616,0.007223689536802781,0.2037037037037037,0.10604438032678083,0.509090909090909
89,12,3,0.5294117647058824,0.020537406959020527,0.2222222222222222,0.10533686850677892,0.3787878787878788
8_44,14,3,0.5567010309278351,0.011785053055464607,0.25925925925925924,0.15209736720209815,0.4065934065934066
10_27,16,3,0.574468085106383,0.014439715697479906,0.2962962962962963,0.19539584440139987,0.43333333333333335
20,12,3,0.5454545454545454,0.01086574423534649,0.2222222222222222,0.13106135285766365,0.3939393939393939
21_26_51_60,13,3,0.5454545454545454,0.018187848983258464,0.24074074074074073,0.12500648095831243,0.3333333333333333
56,15,3,0.5625,0.011354583037110637,0.2777777777777778,0.17814807772186406,0.41904761904761906
66_68_86,22,3,0.6136363636363636,0.04974838116597409,0.4074074074074074,0.21765378823330583,0.2813852813852814
75_88,10,3,0.5192307692307693,0.009509342218976834,0.18518518518518517,0.09799799679947738,0.37777777777777777
90,14,3,0.5567010309278351,0.01804335477190177,0.25925925925925924,0.15065982068937273,0.2857142857142857
2_12_19,10,3,0.4954128440366973,0.005835236030121318,0.18518518518518517,0.10151654877940439,0.5333333333333333
41,16,3,0.5806451612903226,0.01720013972328675,0.2962962962962963,0.18354035208768948,0.4166666666666667
18,15,3,0.5567010309278351,0.014351439835067972,0.2777777777777778,0.16703953393461782,0.4
42,15,3,0.5625,0.021281943163762147,0.2777777777777778,0.15828761210954917,0.3523809523809524
50,15,3,0.5625,0.019621243503635463,0.2777777777777778,0.15146942271825356,0.4095238095238095
13_43,7,3,0.4954128440366973,0.008153686957005881,0.12962962962962962,0.053753123436333705,0.19047619047619047
82,10,3,0.5242718446601942,0.007651088971607717,0.18518518518518517,0.09436680095377095,0.3333333333333333
15_34_57,8,3,0.47368421052631576,0.0031799232940560957,0.14814814814814814,0.06563611748394672,0.5357142857142857
17,11,3,0.5046728971962616,0.006317704858924707,0.2037037037037037,0.10685367508907098,0.4909090909090909
23,12,3,0.5242718446601942,0.013025444906724418,0.2222222222222222,0.10529169438023196,0.36363636363636365
30,13,3,0.54,0.01337570711772838,0.24074074074074073,0.11980880491143273,0.3974358974358974
54,17,3,0.5869565217391305,0.03371078306615185,0.31481481481481477,0.16856042409341992,0.3161764705882353
76,12,3,0.5510204081632653,0.015167535023586502,0.2222222222222222,0.11094434438935948,0.36363636363636365
80,15,3,0.5454545454545454,0.013327568232912042,0.2777777777777778,0.16603965780259422,0.41904761904761906
74,11,3,0.5346534653465347,0.008575088666704287,0.2037037037037037,0.1162380367706088,0.34545454545454546
91,15,3,0.5510204081632653,0.020532347896811888,0.2777777777777778,0.15197734393234807,0.3523809523809524
72_81,7,3,0.4864864864864865,0.0042975548398043704,0.12962962962962962,0.06081497926807092,0.19047619047619047
