nodes,age1,age2,age3,age4,an,bn,edi3
1,0.8321428571428572,0.19285714285714287,0.040584415584415584,0.10064935064935066,0.8326345213137666,0.02514124293785311,0.019110275689223057
10,-,-,-,-,-,0.07853107344632769,-
10_27,0.01818181818181818,0.03279220779220779,0.03214285714285714,0.013311688311688311,0.19461914744933612,-,0.0
11,0.013636363636363636,0.11525974025974026,0.0,0.337012987012987,0.06184486373165618,0.5898305084745763,0.006265664160401002
13_43,0.8334415584415584,0.22564935064935066,0.15941558441558443,0.5,0.5020964360587001,0.0,0.7828947368421052
15_34_57,-,-,-,-,0.0,-,-
15_57,0.6448051948051948,0.41785714285714287,0.8769480519480519,0.32694805194805193,-,0.6177966101694915,0.8270676691729323
16_25_49,0.012012987012987014,0.34935064935064936,0.03636363636363636,0.0646103896103896,0.0,-,0.0
16_49,-,-,-,-,-,0.02231638418079096,-
17,0.06753246753246753,0.046103896103896105,0.3987012987012987,0.0016233766233766235,0.0010482180293501049,0.0005649717514124294,0.0
18,0.03441558441558441,0.07694805194805195,0.024675324675324677,0.016558441558441557,0.4993011879804332,0.00847457627118644,0.012218045112781954
19,-,-,-,-,-,0.0005649717514124294,-
20,0.041233766233766234,0.23116883116883116,0.000974025974025974,0.5172077922077922,0.018867924528301886,0.0,0.08959899749373433
21_26_51,-,-,-,-,-,0.017796610169491526,-
21_26_51_60,0.0,0.003896103896103896,0.06883116883116883,0.05064935064935065,0.10412299091544375,-,0.12280701754385964
22_39_58,0.8311688311688312,0.7506493506493507,0.5162337662337663,0.04935064935064935,0.7788259958071279,0.4067796610169492,0.7991854636591478
23,-,-,-,-,0.008735150244584206,-,-
23_69_73,0.8090909090909091,0.5344155844155845,0.0,0.16525974025974027,-,0.005932203389830509,0.19862155388471175
24,0.0,0.006493506493506494,0.000974025974025974,0.22597402597402597,0.2386443046820405,0.7977401129943503,0.08208020050125313
27,-,-,-,-,-,0.23785310734463277,-
28,-,-,-,-,-,0.5042372881355932,-
29,-,-,-,-,-,0.3906779661016949,-
29_36_52_63,0.5542207792207792,0.01461038961038961,0.03441558441558441,0.025324675324675326,0.0,-,0.05513784461152882
2_12,-,-,-,-,-,0.11440677966101695,-
2_12_19,0.0,0.060714285714285714,0.002922077922077922,0.030844155844155844,0.0220125786163522,-,0.0012531328320802004
30,0.06428571428571428,0.23214285714285715,0.8996753246753246,0.5613636363636364,0.03668763102725367,0.0005649717514124294,0.1331453634085213
31,0.08409090909090909,0.08409090909090909,0.04935064935064935,0.02792207792207792,-,-,0.02694235588972431
31_55,-,-,-,-,-,0.07796610169491526,-
31_55_62,-,-,-,-,0.1495457721872816,-,-
32,-,-,-,-,0.16596785464709993,-,-
33,0.000974025974025974,0.4811688311688312,0.7977272727272727,0.5785714285714286,0.07302585604472396,0.10903954802259887,0.1506892230576441
34,0.0,0.788961038961039,0.056818181818181816,0.0,-,0.13700564971751414,0.10808270676691728
35,0.6113636363636363,0.010714285714285714,0.11266233766233766,0.3051948051948052,0.08770090845562543,0.6542372881355932,0.07048872180451127
36_52_63,-,-,-,-,-,0.014124293785310734,-
37,0.7814935064935065,0.048051948051948054,0.21753246753246752,0.0003246753246753247,0.17889587700908455,0.5884180790960453,0.08615288220551379
3_6_14_18,-,-,-,-,-,-,0.044799498746867165
3_6_14_48,0.05551948051948052,0.12077922077922078,0.07142857142857142,0.038636363636363635,0.2092941998602376,0.0,-
40,0.060714285714285714,0.010064935064935065,0.0,0.0685064935064935,0.0052410901467505235,0.6127118644067797,0.0003132832080200501
41,0.08571428571428572,0.007467532467532467,0.05,0.026623376623376622,0.0,0.03361581920903955,0.08395989974937343
42,0.712012987012987,0.3224025974025974,0.03831168831168831,0.12012987012987013,0.5080363382250175,0.05593220338983051,0.5162907268170426
47,0.08571428571428572,0.14837662337662338,0.1461038961038961,0.9198051948051948,0.26799440950384346,0.5014124293785311,0.8208020050125313
4_5_28_38_46,0.8493506493506493,0.8396103896103896,0.5360389610389611,0.9363636363636364,0.8563941299790356,-,0.8320802005012531
4_5_38_46,-,-,-,-,-,0.0,-
50,0.46396103896103896,0.19350649350649352,0.23506493506493506,0.03831168831168831,0.4709993011879804,0.003672316384180791,0.14097744360902253
53,0.07435064935064935,0.5717532467532468,0.5616883116883117,0.27694805194805194,0.08560447239692523,0.35564971751412433,0.1682330827067669
54,0.005844155844155844,0.19025974025974027,0.0,0.12045454545454545,0.18623340321453527,0.06638418079096045,0.3659147869674185
56,0.001948051948051948,0.00551948051948052,0.21201298701298701,0.10551948051948051,0.43675751222921033,0.21440677966101696,0.08145363408521303
60,-,-,-,-,-,0.07824858757062148,-
61,0.7938311688311688,0.49772727272727274,0.0685064935064935,0.09805194805194806,0.16037735849056603,0.5830508474576271,0.14348370927318294
62,-,-,-,-,-,-,0.05607769423558897
64,0.884090909090909,0.0,0.17597402597402598,0.04935064935064935,0.0,0.011299435028248588,0.44423558897243104
65,0.017857142857142856,0.1266233766233766,0.0003246753246753247,0.3090909090909091,0.08001397624039133,0.868361581920904,0.0
66,0.0006493506493506494,0.06363636363636363,0.17662337662337663,0.04837662337662338,-,0.046045197740112995,0.10651629072681704
66_68_86,-,-,-,-,0.7085953878406708,-,-
67,0.6444805194805194,0.41363636363636364,0.8597402597402597,0.32435064935064933,-,0.6666666666666667,0.8433583959899749
67_79_83_85,-,-,-,-,0.0052410901467505235,-,-
68_86,0.04902597402597403,0.01038961038961039,0.10162337662337663,0.0,-,0.19350282485875706,0.020050125313283207
69_73,-,-,-,-,0.5174703004891684,-,-
7,-,-,-,-,0.10482180293501048,-,-
70,-,-,-,-,0.8850454227812717,0.01016949152542373,-
70_79_83,0.05194805194805195,0.00487012987012987,0.12142857142857143,0.05032467532467533,-,-,0.0
71,0.9006493506493507,0.8685064935064936,0.9545454545454546,0.9392857142857143,0.8944793850454227,0.8836158192090395,0.8840852130325814
72_81,0.8006493506493506,0.8506493506493507,0.0,0.25,0.0,0.09576271186440678,0.8677944862155388
74,0.2974025974025974,0.29545454545454547,0.8964285714285715,0.003896103896103896,0.0,-,0.07080200501253132
74_75,-,-,-,-,-,0.010734463276836158,-
75,0.38896103896103895,0.5542207792207792,0.40064935064935064,0.21753246753246752,-,-,0.13283208020050125
75_88,-,-,-,-,0.010831586303284416,-,-
76,0.5571428571428572,0.05649350649350649,0.006818181818181818,0.04902597402597403,0.01642208245981831,0.23192090395480228,0.4219924812030075
77,0.0633116883116883,0.09837662337662338,0.29188311688311686,0.006493506493506494,0.0,0.0016949152542372883,0.041353383458646614
78,0.0,0.1603896103896104,0.027597402597402596,0.06201298701298701,0.17365478686233402,0.03192090395480226,0.003132832080200501
79_83_85,-,-,-,-,-,0.06666666666666667,-
7_25_32,-,-,-,-,-,0.04971751412429379,-
7_32,0.0,0.02792207792207792,0.01396103896103896,0.03961038961038961,-,-,0.3715538847117794
80,0.0,0.06883116883116883,0.0,0.0,0.4102026554856743,0.33361581920903954,0.05889724310776942
82,0.1262987012987013,0.42207792207792205,0.0,0.04220779220779221,0.17854647099930118,0.03728813559322034,0.7553258145363408
84,0.32175324675324674,0.06915584415584415,0.023051948051948053,0.005194805194805195,0.09503843466107617,0.047740112994350284,0.7926065162907268
85,0.0724025974025974,0.010714285714285714,0.08246753246753247,0.06233766233766234,-,-,0.13972431077694236
87,0.011363636363636364,0.058116883116883115,0.026298701298701297,0.20487012987012987,0.08211041229909154,0.5903954802259888,0.03195488721804511
88,0.21233766233766233,0.0,0.27824675324675324,0.07467532467532467,-,0.03898305084745763,0.002819548872180451
89,0.7435064935064936,0.01038961038961039,0.01396103896103896,0.0,0.12229210342417889,0.15282485875706214,0.3530701754385965
8_44,0.05779220779220779,0.10519480519480519,0.18474025974025973,0.0035714285714285713,0.0,0.031638418079096044,0.16854636591478694
90,0.0,0.813961038961039,0.5178571428571429,0.021753246753246754,0.23130677847658979,0.15112994350282485,0.05388471177944862
91,0.02564935064935065,0.28733766233766234,0.11818181818181818,0.00551948051948052,0.004891684136967156,0.0576271186440678,0.0043859649122807015
9_45_55_59,-,-,-,-,-,-,0.002506265664160401
9_45_55_59_62,0.01883116883116883,0.0,0.04318181818181818,0.001948051948051948,-,-,-
9_45_59,-,-,-,-,0.06638714185883997,-,-
9_45_59_62,-,-,-,-,-,0.007062146892655367,-
