nodes,age1,age2,age3,age4,an,bn,edi3
1,0.5384615384615384,0.5436893203883495,0.4628099173553719,0.56,0.5242718446601942,0.42857142857142855,0.5
10,-,-,-,-,-,0.594059405940594,-
10_27,0.5957446808510638,0.56,0.5957446808510638,0.5773195876288659,0.574468085106383,-,0.5876288659793815
11,0.5714285714285714,0.5894736842105263,0.5490196078431373,0.5894736842105263,0.5625,0.5128205128205128,0.5327102803738317
13_43,0.509090909090909,0.5436893203883495,0.509090909090909,0.5333333333333333,0.4954128440366973,0.425531914893617,0.5277777777777778
15_34_57,-,-,-,-,0.47368421052631576,-,-
15_57,0.5045045045045045,0.5283018867924528,0.5544554455445545,0.5185185185185185,-,0.4444444444444444,0.5089285714285714
16_25_49,0.5137614678899083,0.5714285714285714,0.5714285714285714,0.56,0.47368421052631576,-,0.5089285714285714
16_49,-,-,-,-,-,0.46511627906976744,-
17,0.5283018867924528,0.56,0.56,0.5436893203883495,0.5046728971962616,0.48,0.5181818181818182
18,0.6021505376344086,0.5656565656565656,0.6086956521739131,0.5894736842105263,0.5567010309278351,0.5660377358490566,0.5643564356435643
19,-,-,-,-,-,0.46875,-
20,0.5490196078431373,0.5283018867924528,0.5714285714285714,0.5833333333333334,0.5454545454545454,0.5607476635514018,0.5876288659793815
21_26_51,-,-,-,-,-,0.5309734513274337,-
21_26_51_60,0.5714285714285714,0.5544554455445545,0.5773195876288659,0.5894736842105263,0.5454545454545454,-,0.5480769230769231
22_39_58,0.56,0.509090909090909,0.49557522123893805,0.49122807017543857,0.5192307692307693,0.4838709677419355,0.5135135135135135
23,-,-,-,-,0.5242718446601942,-,-
23_69_73,0.56,0.5714285714285714,0.509090909090909,0.5773195876288659,-,0.47619047619047616,0.57
24,0.5833333333333334,0.6222222222222222,0.5714285714285714,0.6086956521739131,0.5625,0.5607476635514018,0.6063829787234043
27,-,-,-,-,-,0.5607476635514018,-
28,-,-,-,-,-,0.46511627906976744,-
29,-,-,-,-,-,0.48,-
29_36_52_63,0.5773195876288659,0.5544554455445545,0.5544554455445545,0.5656565656565656,0.5094339622641509,-,0.5757575757575758
2_12,-,-,-,-,-,0.4878048780487805,-
2_12_19,0.5333333333333333,0.5,0.5045045045045045,0.5233644859813084,0.4954128440366973,-,0.4956521739130435
30,0.5384615384615384,0.5333333333333333,0.5490196078431373,0.5656565656565656,0.54,0.48,0.5135135135135135
31,0.5436893203883495,0.5384615384615384,0.5436893203883495,0.5436893203883495,-,-,0.5428571428571428
31_55,-,-,-,-,-,0.4878048780487805,-
31_55_62,-,-,-,-,0.46956521739130436,-,-
32,-,-,-,-,0.5294117647058824,-,-
33,0.5384615384615384,0.5894736842105263,0.6021505376344086,0.5833333333333334,0.5454545454545454,0.5555555555555556,0.5876288659793815
34,0.5490196078431373,0.5894736842105263,0.5714285714285714,0.5233644859813084,-,0.5084745762711864,0.5480769230769231
35,0.5773195876288659,0.5490196078431373,0.6292134831460674,0.6292134831460674,0.574468085106383,0.5714285714285714,0.6195652173913043
36_52_63,-,-,-,-,-,0.5128205128205128,-
37,0.5773195876288659,0.5714285714285714,0.5833333333333334,0.5490196078431373,0.5869565217391305,0.5263157894736842,0.5428571428571428
3_6_14_18,-,-,-,-,-,-,0.5377358490566038
3_6_14_48,0.5656565656565656,0.5384615384615384,0.5436893203883495,0.5436893203883495,0.5510204081632653,0.46153846153846156,-
40,0.5544554455445545,0.5384615384615384,0.5384615384615384,0.5773195876288659,0.5294117647058824,0.5309734513274337,0.5643564356435643
41,0.6086956521739131,0.5894736842105263,0.6153846153846154,0.5773195876288659,0.5806451612903226,0.5309734513274337,0.59375
42,0.5544554455445545,0.5894736842105263,0.6086956521739131,0.5833333333333334,0.5625,0.4838709677419355,0.5533980582524272
47,0.5656565656565656,0.5773195876288659,0.5544554455445545,0.5833333333333334,0.6136363636363636,0.5042016806722689,0.5816326530612245
4_5_28_38_46,0.5233644859813084,0.5384615384615384,0.509090909090909,0.5384615384615384,0.4909090909090909,-,0.5588235294117647
4_5_38_46,-,-,-,-,-,0.42857142857142855,-
50,0.5833333333333334,0.5833333333333334,0.56,0.5833333333333334,0.5625,0.5172413793103449,0.59375
53,0.56,0.6153846153846154,0.5714285714285714,0.5714285714285714,0.574468085106383,0.5357142857142857,0.5876288659793815
54,0.5894736842105263,0.5833333333333334,0.6021505376344086,0.6292134831460674,0.5869565217391305,0.5357142857142857,0.6195652173913043
56,0.56,0.5544554455445545,0.6021505376344086,0.6021505376344086,0.5625,0.5555555555555556,0.59375
60,-,-,-,-,-,0.5357142857142857,-
61,0.5333333333333333,0.5894736842105263,0.5490196078431373,0.5714285714285714,0.5684210526315789,0.5263157894736842,0.57
62,-,-,-,-,-,-,0.4956521739130435
64,0.5773195876288659,0.5,0.5773195876288659,0.5283018867924528,0.5094339622641509,0.5042016806722689,0.5533980582524272
65,0.5544554455445545,0.5894736842105263,0.5773195876288659,0.5894736842105263,0.5934065934065934,0.5217391304347826,0.5588235294117647
66,0.6021505376344086,0.5957446808510638,0.6222222222222222,0.5833333333333334,-,0.5714285714285714,0.6195652173913043
66_68_86,-,-,-,-,0.6136363636363636,-,-
