nodes,age1,age2,age3,age4,an,bn,edi3
1,0.03993825787089201,0.03765413080202237,0.10464602825784751,0.029954273081450142,0.050476208324433565,0.06418683322868932,0.045404540859453266
10,-,-,-,-,-,0.027643115938874273,-
10_27,0.04994800771121154,0.053463459321686314,0.04625497472938761,0.04853539430773516,0.05353307920462272,-,0.046908772066219656
11,0.05282411520085405,0.04268305295435564,0.04686020892881674,0.03176612572320711,0.05542861455502174,0.03333677797378718,0.05403457156344845
13_43,0.0030371534412801595,0.02034703722455321,0.02177832148187456,0.028371994735076067,0.009788922102755023,0.06347775751403742,0.014416532737764295
15_34_57,-,-,-,-,0.10237441334530205,-,-
15_57,0.072070061128459,0.033533820702024805,0.03465655012207017,0.046097245646495054,-,0.07236943384169683,0.05742193397107076
16_25_49,0.096431869481859,0.05522861357686915,0.047730696655041156,0.04458217580576179,0.16421214378685717,-,0.07474889852600641
16_49,-,-,-,-,-,0.06879769941595447,-
17,0.05035837201636037,0.041879179647504115,0.04552440406063671,0.05446864569529683,0.08243393038093763,0.05927951946954215,0.0681645612626804
18,0.05029292466241438,0.05379198120867859,0.03734387477774163,0.03941546229423683,0.049147017073342396,0.03600861720290014,0.04735917225870113
19,-,-,-,-,-,0.06941090149518452,-
20,0.04772473944715745,0.03137845972595247,0.042238639473681575,0.027296177992207456,0.04905145218722286,0.025584963394462666,0.02637376907574651
21_26_51,-,-,-,-,-,0.04172127036344573,-
21_26_51_60,0.06367435936444321,0.05965594915433195,0.03932137063248303,0.035994030086588163,0.0651408453383547,-,0.057703465813393084
22_39_58,0.016686635127540893,0.0055717031395865506,0.042840891427022396,0.0672920346070687,0.006680057358425319,0.01238226263201829,0.018011704714793315
23,-,-,-,-,0.05835360687029268,-,-
23_69_73,0.037882615340113,0.03636579730974847,0.0624901090421826,0.025779221869864297,-,0.03973730442655662,0.03022703137065845
24,0.048001552480154065,0.030968408230207158,0.04572332750106535,0.030785948792149378,0.04425915704870682,0.024570073432593313,0.032764917341267186
27,-,-,-,-,-,0.028312224887196685,-
28,-,-,-,-,-,0.08188047023378774,-
29,-,-,-,-,-,0.03981220345599127,-
29_36_52_63,0.028777082485815925,0.032430887235022965,0.037948416818240564,0.019796767057781703,0.04363471565945835,-,0.024222385441574696
2_12,-,-,-,-,-,0.061788289191841726,-
2_12_19,0.08991155750083114,0.08091512897225979,0.08258020518146239,0.04119061909223961,0.08467398146236835,-,0.06963973474609841
