source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
23_69_73,0.022073343289656707,0.763576684534181,0.01685469028570088,23_69_73
70_79_83,0.007050536047954348,0.3128752034729998,0.022534659089923016,61
68_86,0.006533298490947996,0.4431199508871949,0.014743859936496467,68_86
34,0.009425667810405214,0.3937002904628253,0.023941226457630013,34
67,0.01688632216157425,0.3051762001764394,0.005153303632224429,70_79_83
66,0.02333111556160188,0.27692740305291985,0.006461025242801976,56
84,0.02258944758268001,0.4348543974882595,0.009823120618158935,21_26_51_60
77,0.023175531525082765,0.2575276175549095,0.005968339419223264,40
56,0.006585573507303658,0.9625145375451502,0.00684205095135484,35
37,0.0239534675486105,0.6935266511515942,0.016612368132456225,37
