source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
23_69_73,0.56,0.9800000000000002,0.5714285714285714,23_69_73
70_79_83,0.5544554455445545,0.9405940594059408,0.5894736842105263,61
68_86,0.5333333333333333,0.9142857142857143,0.5833333333333334,68_86
34,0.5490196078431373,0.931372549019608,0.5894736842105263,34
67,0.5714285714285714,0.8909090909090909,0.509090909090909,70_79_83
66,0.6021505376344086,0.9207920792079208,0.5544554455445545,56
84,0.6021505376344086,0.9207920792079208,0.5544554455445545,21_26_51_60
77,0.5894736842105263,0.9134615384615385,0.5384615384615384,40
56,0.56,0.9803921568627451,0.5490196078431373,35
37,0.5773195876288659,0.9897959183673469,0.5714285714285714,37
