source_nodes,metric_value_source,similarity_between_metrics,metric_value_target,target_nodes
68_86,0.4393939393939394,0.8701825557809331,0.38235294117647056,42
76,0.34065934065934067,0.7664835164835165,0.4444444444444444,13_43
24,0.3333333333333333,0.8901098901098902,0.2967032967032967,61
2_12_19,0.4,0.8432432432432433,0.47435897435897434,2_12_19
61,0.2727272727272727,0.7727272727272726,0.35294117647058826,50
17,0.2967032967032967,0.98580002927829,0.2924901185770751,35
23_69_73,0.26666666666666666,0.5392592592592592,0.4945054945054945,37
70_79_83,0.3939393939393939,0.7615384615384615,0.3,67
11,0.35947712418300654,0.8986928104575163,0.4,71
35,0.27941176470588236,0.8221153846153846,0.33986928104575165,21_26_51_60
