nodes,age1,age2,age3,age4,an,bn,edi3
1,13,13,6,14,11,6,10
10,-,-,-,-,-,19,-
10_27,19,16,19,16,16,-,17
11,18,17,13,18,15,13,15
13_43,7,11,9,9,7,5,10
15_34_57,-,-,-,-,8,-,-
15_57,10,10,14,8,-,7,9
16_25_49,11,15,16,13,8,-,12
16_49,-,-,-,-,-,10,-
17,14,14,14,12,11,10,11
18,19,16,20,17,15,16,17
19,-,-,-,-,-,10,-
20,12,10,16,17,12,14,17
21_26_51,-,-,-,-,-,13,-
21_26_51_60,15,14,17,18,13,-,14
22_39_58,13,8,6,7,8,7,10
23,-,-,-,-,12,-,-
23_69_73,15,14,8,15,-,10,14
24,16,22,16,20,16,15,20
27,-,-,-,-,-,15,-
28,-,-,-,-,-,7,-
29,-,-,-,-,-,8,-
29_36_52_63,17,13,13,13,9,-,15
2_12,-,-,-,-,-,11,-
2_12_19,11,10,9,13,10,-,11
30,12,11,14,13,13,10,10
31,12,14,10,12,-,-,12
31_55,-,-,-,-,-,10,-
31_55_62,-,-,-,-,8,-,-
32,-,-,-,-,13,-,-
33,13,19,19,17,13,16,18
34,12,18,16,9,-,12,13
35,17,12,23,23,16,17,23
36_52_63,-,-,-,-,-,10,-
37,16,16,16,14,17,12,14
3_6_14_18,-,-,-,-,-,-,11
3_6_14_48,14,11,11,13,13,5,-
40,12,11,11,16,10,14,13
41,20,17,21,16,16,14,18
42,14,17,20,17,15,9,14
47,18,16,15,18,20,10,18
4_5_28_38_46,10,11,8,12,8,-,14
4_5_38_46,-,-,-,-,-,5,-
50,16,17,15,17,15,12,18
53,14,21,15,16,15,12,18
54,18,18,19,23,17,15,23
56,15,15,20,19,15,17,18
60,-,-,-,-,-,14,-
61,11,17,13,14,14,11,14
62,-,-,-,-,-,-,10
64,16,8,15,11,8,12,13
65,15,17,17,18,18,13,16
66,19,18,22,17,-,16,22
66_68_86,-,-,-,-,22,-,-
67,15,16,21,20,-,17,17
67_79_83_85,-,-,-,-,17,-,-
68_86,12,17,17,15,-,13,17
69_73,-,-,-,-,9,-,-
7,-,-,-,-,10,-,-
70,-,-,-,-,11,8,-
70_79_83,12,8,14,14,-,-,9
71,14,8,20,10,12,11,15
72_81,7,6,9,12,7,4,8
74,20,14,19,9,11,-,13
74_75,-,-,-,-,-,10,-
75,14,14,13,13,-,-,16
75_88,-,-,-,-,10,-,-
76,14,18,17,11,12,9,14
77,17,17,19,17,13,11,17
78,17,19,18,17,14,14,15
79_83_85,-,-,-,-,-,9,-
7_25_32,-,-,-,-,-,10,-
7_32,11,15,12,10,-,-,12
80,11,11,13,10,15,9,13
82,14,10,8,10,10,8,13
84,21,19,18,18,19,17,23
85,14,19,14,17,-,-,17
87,13,11,13,14,13,13,13
88,19,10,14,15,-,10,11
89,13,14,15,13,12,12,13
8_44,17,24,22,18,14,18,23
90,9,15,16,18,14,11,12
91,18,20,20,15,15,14,18
9_45_55_59,-,-,-,-,-,-,11
9_45_55_59_62,12,10,18,11,-,-,-
9_45_59,-,-,-,-,11,-,-
9_45_59_62,-,-,-,-,-,10,-
