,degree,eccentricity,closeness_centrality,betweenness_centrality,degree_centrality,eigenvector_centrality,clustering
01,10,3,0.5,0.00704481692942034,0.17543859649122806,0.06822430381826088,0.37777777777777777
4_5_28_38_46,14,3,0.5588235294117647,0.01344525646166463,0.24561403508771928,0.1010639430580574,0.38461538461538464
11,15,3,0.5327102803738317,0.013818831950308601,0.2631578947368421,0.10629670633750014,0.3904761904761905
16_25_49,12,3,0.5089285714285714,0.0064405542624068985,0.21052631578947367,0.0885734509876093,0.48484848484848486
20,17,2,0.5876288659793815,0.02422952989754533,0.2982456140350877,0.15211326814093476,0.3382352941176471
31,12,3,0.5428571428571428,0.011021584610123307,0.21052631578947367,0.085143810159581,0.3939393939393939
7_32,12,3,0.5480769230769231,0.009316988636110256,0.21052631578947367,0.08801783696961202,0.48484848484848486
29_36_52_63,15,2,0.5757575757575758,0.015249901325802319,0.2631578947368421,0.1359448581314564,0.38095238095238093
37,14,3,0.5428571428571428,0.011505319310947351,0.24561403508771928,0.10946660302422752,0.42857142857142855
47,18,3,0.5816326530612245,0.02184248158177484,0.3157894736842105,0.1403982895244369,0.37254901960784315
62,10,3,0.4956521739130435,0.004678987337527593,0.17543859649122806,0.07022278914423702,0.4444444444444444
3_6_14_18,11,3,0.5377358490566038,0.005737019692630146,0.19298245614035087,0.10443643812312968,0.41818181818181815
21_26_51_60,14,3,0.5480769230769231,0.006727967388834254,0.24561403508771928,0.138852529927076,0.4945054945054945
22_39_58,10,3,0.5135135135135135,0.004310994652163575,0.17543859649122806,0.08727998308228886,0.37777777777777777
24,20,2,0.6063829787234043,0.028808037292824575,0.3508771929824561,0.17794712204419624,0.3368421052631579
33,18,3,0.5876288659793815,0.015361940492554484,0.3157894736842105,0.17904296943939774,0.42483660130718953
35,23,3,0.6195652173913043,0.032289781624110905,0.40350877192982454,0.21183817556170034,0.33992094861660077
71,15,2,0.5757575757575758,0.02137072786158443,0.2631578947368421,0.1136212615914995,0.2857142857142857
77,17,3,0.57,0.016814794764757217,0.2982456140350877,0.14887254039724504,0.34558823529411764
84,23,2,0.6263736263736264,0.03325025364833486,0.40350877192982454,0.21486541500073328,0.35968379446640314
85,17,3,0.5816326530612245,0.018152620596821743,0.2982456140350877,0.1567373040852807,0.38235294117647056
87,13,3,0.5533980582524272,0.011722708476425822,0.22807017543859648,0.11368355510672737,0.3076923076923077
40,13,2,0.5643564356435643,0.008080121089433049,0.22807017543859648,0.11712219224408196,0.41025641025641024
50,18,2,0.59375,0.02702256495190978,0.3157894736842105,0.13856156536048292,0.3137254901960784
53,18,3,0.5876288659793815,0.02801037186630088,0.3157894736842105,0.13193056317074836,0.3333333333333333
61,14,2,0.57,0.013942300673679126,0.24561403508771928,0.11078033526588975,0.3076923076923077
64,13,3,0.5533980582524272,0.007074538960783162,0.22807017543859648,0.1128773339282294,0.48717948717948717
68_86,17,3,0.57,0.017783583040525148,0.2982456140350877,0.14611259182002553,0.35294117647058826
23_69_73,14,2,0.57,0.020330917788246083,0.24561403508771928,0.0928571139786733,0.24175824175824176
75,16,3,0.57,0.014957771013884326,0.2807017543859649,0.13271182163853965,0.36666666666666664
82,13,3,0.5428571428571428,0.006910070337223747,0.22807017543859648,0.11405421922787266,0.4230769230769231
8_44,23,2,0.6263736263736264,0.03540011630239596,0.40350877192982454,0.20901492936571478,0.33201581027667987
9_45_55_59,11,3,0.5089285714285714,0.005678833414412816,0.19298245614035087,0.085933435427102,0.43636363636363634
10_27,17,2,0.5876288659793815,0.017344997351175843,0.2982456140350877,0.16151336151848675,0.4117647058823529
34,13,3,0.5480769230769231,0.00987030843299606,0.22807017543859648,0.12345386002933376,0.4230769230769231
54,23,3,0.6195652173913043,0.05037201043396837,0.40350877192982454,0.17923137793062316,0.2608695652173913
56,18,2,0.59375,0.011595394766134305,0.3157894736842105,0.18752970305406055,0.45098039215686275
65,16,3,0.5588235294117647,0.013227781512399025,0.2807017543859649,0.15316500610058933,0.4166666666666667
66,22,2,0.6195652173913043,0.027764127941860055,0.38596491228070173,0.20804467029441104,0.3722943722943723
67,17,3,0.57,0.014190743440414245,0.2982456140350877,0.16309092795527433,0.4117647058823529
72_81,8,3,0.5181818181818182,0.0029009588920323468,0.14035087719298245,0.069950973496177,0.42857142857142855
90,12,3,0.5480769230769231,0.0097582718747666,0.21052631578947367,0.10775668076875507,0.3333333333333333
2_12_19,11,3,0.4956521739130435,0.006388181918959912,0.19298245614035087,0.07793994521757243,0.4727272727272727
41,18,2,0.59375,0.019689711239049393,0.3157894736842105,0.1602663381833201,0.39869281045751637
18,17,3,0.5643564356435643,0.01116706355398644,0.2982456140350877,0.15868871972894735,0.4485294117647059
42,14,3,0.5533980582524272,0.011003001071840943,0.24561403508771928,0.11858454583828773,0.4175824175824176
78,15,3,0.5643564356435643,0.016262074361414757,0.2631578947368421,0.12352383979835684,0.3523809523809524
13_43,10,3,0.5277777777777778,0.006125601076884819,0.17543859649122806,0.07806841600987205,0.3111111111111111
88,11,3,0.5327102803738317,0.005740647390583226,0.19298245614035087,0.09840065632486698,0.41818181818181815
89,13,2,0.5643564356435643,0.012516524536786202,0.22807017543859648,0.09894933871851434,0.4358974358974359
15_57,9,3,0.5089285714285714,0.004089417713079417,0.15789473684210525,0.0729272817423089,0.3888888888888889
17,11,3,0.5181818181818182,0.0045504131334947115,0.19298245614035087,0.08665482648471334,0.4727272727272727
30,10,3,0.5135135135135135,0.004471798737683562,0.17543859649122806,0.08090202784867177,0.4444444444444444
76,14,3,0.5428571428571428,0.01154639812619443,0.24561403508771928,0.11151027368869464,0.37362637362637363
80,13,3,0.5327102803738317,0.006877936914260096,0.22807017543859648,0.11446745963112237,0.5128205128205128
74,13,3,0.5428571428571428,0.009026389202443794,0.22807017543859648,0.12037889090013422,0.3717948717948718
91,18,3,0.5757575757575758,0.021411411573874235,0.3157894736842105,0.15683855524710397,0.39215686274509803
70_79_83,9,3,0.49137931034482757,0.0027239149913022096,0.15789473684210525,0.07949063565848793,0.5277777777777778
