nodes,age1,age2,age3,age4,an,bn,edi3
1,0.10639722089433773,0.10013650898945566,0.08580101079895153,0.07924569589595208,0.12603985131677448,0.07268523621388784,0.10140595988757929
10,-,-,-,-,-,0.21146441241942707,-
10_27,0.18601615529421156,0.20499066907941818,0.21001444143179104,0.20750035127955138,0.1821675647454248,-,0.19259508906451303
11,0.19818264963726112,0.14478514872645007,0.13136547040321953,0.14522570506006371,0.1854202380149543,0.11479653702868861,0.17444578205691783
13_43,0.038146090535277344,0.07152539124986584,0.041635565226402244,0.05523526596628521,0.033671852323655056,0.04428036717060129,0.04492752820942717
15_34_57,-,-,-,-,0.08238601325653601,-,-
15_57,0.0807345579454356,0.07367896565295971,0.08532572957950524,0.09068514508897149,-,0.08099651020380202,0.0753306431784808
16_25_49,0.1818043181270363,0.17484222398013724,0.15946409381630913,0.1264595879892127,0.23362915111455299,-,0.2053174862621652
16_49,-,-,-,-,-,0.1874584568831529,-
17,0.1101851885102151,0.10556467259953613,0.11930395652534972,0.13080717849215595,0.09868675015659682,0.09387339378744186,0.10282579393520662
18,0.18488963013767082,0.20473206158383966,0.1663381320522301,0.18242787097817828,0.1611703634780069,0.18194451484356072,0.16865110154598772
19,-,-,-,-,-,0.1845905686609756,-
20,0.11831691581821366,0.08920831864547393,0.14681416728566854,0.12099205226925856,0.08989827424403722,0.12608265335642957,0.09848899039920317
21_26_51,-,-,-,-,-,0.16633541801843385,-
21_26_51_60,0.16524556073940003,0.18041615870461644,0.18413093487137763,0.18964153246196847,0.14509907683309947,-,0.16363011346576478
22_39_58,-0.00665786012964764,0.014891263264131316,0.04971226705745608,0.057755478015392034,0.012421020969975716,0.042060423048112076,0.015864198678702382
23,-,-,-,-,0.09571816099141937,-,-
23_69_73,0.08353144851591668,0.07263913537675615,0.08049390471303974,0.09306439854144176,-,0.09551858380049515,0.08076694918010276
24,0.14405894692609736,0.17454298118726677,0.1699259180504548,0.1595748773487446,0.13563288651803312,0.14145609533845535,0.14110794866422668
27,-,-,-,-,-,0.20722557602192795,-
28,-,-,-,-,-,0.1332275797512896,-
29,-,-,-,-,-,0.05889403762084543,-
29_36_52_63,0.09668483411812429,0.09802088088058877,0.10840014413944586,0.07981397787408433,0.06560979522465168,-,0.08417219193705636
2_12,-,-,-,-,-,0.18169438160828502,-
2_12_19,0.16176336630750648,0.14061632765307372,0.13903053226499718,0.09910980400078187,0.18301692358645252,-,0.17007812532846497
30,0.09137101400262287,0.09276018835732174,0.1027493181567487,0.10359019399804045,0.10190671446471734,0.08347746105725097,0.09298791728213751
31,0.10989153374164272,0.1036887340325508,0.1092309226153852,0.1280992279927084,-,-,0.13076762894157976
31_55,-,-,-,-,-,0.200253847100429,-
31_55_62,-,-,-,-,0.16574650471889896,-,-
32,-,-,-,-,0.3121889965871871,-,-
33,0.1377356253854658,0.15054001666970268,0.15142953811324292,0.14827473549183712,0.11798876720796864,0.1616820915752999,0.13211417997118288
34,0.12502664078545425,0.11877952948126141,0.14360784040034957,0.1576186565838126,-,0.14385705880225286,0.12123710727552975
35,0.0799217953258671,0.10970000349139175,0.14699400697165083,0.14395234635747373,0.07503089811917153,0.08147712637682859,0.09369481610686259
36_52_63,-,-,-,-,-,0.06239471510390902,-
37,0.16730651321897724,0.14019486395674946,0.17243343883411197,0.16549182473819127,0.19167890868514142,0.18020431580386267,0.15672096368063695
3_6_14_18,-,-,-,-,-,-,0.059824027544104756
3_6_14_48,0.06929834843500715,0.07539310747977633,0.08335176799626702,0.07253795158856712,0.049007984475469904,0.04365086991801321,-
40,0.0878915905546393,0.11028335075287975,0.11789481545536885,0.10090812269661374,0.08729579683156088,0.08148243363503976,0.10198754939705419
41,0.21157796953327654,0.19334858971696697,0.21095009582196142,0.21564940921592535,0.21726259981101165,0.21720892754050336,0.20011566720715881
42,0.13391101494677568,0.07846843297572595,0.11124237830705046,0.1448509704112635,0.11133295444718347,0.08763658519189606,0.10804496783343245
