,degree
10620,5
10972,26
9952,14
10036,61
10287,62
10314,35
10244,3
10354,156
11007,41
11008,110
11253,7
10168,40
10109,193
10804,33
10331,44
10949,39
10634,64
9879,18
11445,9
10126,68
9887,16
10174,30
9992,159
9903,74
10138,2
11415,18
10432,5
10950,208
9965,150
10763,164
10802,16
10436,15
9915,23
10324,232
9757,43
11014,52
11410,22
10495,21
10554,50
10242,48
11391,88
10678,64
10451,150
11489,31
11061,66
10840,49
11101,21
11392,57
10251,102
10602,81
10295,63
10566,97
10729,33
11092,47
10444,30
11323,22
10968,75
11357,60
9968,6
9959,12
11316,94
10113,25
10096,81
10276,254
10867,101
10870,23
11426,20
10923,127
10144,36
9769,9
10482,31
10909,36
11439,301
10095,25
10115,30
10997,23
10212,66
9809,30
9899,22
11123,37
10025,51
10704,21
10391,15
11029,109
10214,40
11180,32
11078,42
10752,28
11356,133
10116,41
11263,121
10902,22
10583,15
10546,83
11337,38
10796,160
11362,39
10708,53
9928,34
10079,33
10750,49
11063,35
10067,18
10207,74
10076,42
11427,26
11170,73
10713,90
11173,45
10241,85
10839,66
11481,28
10603,29
9767,22
10988,18
10677,11
10946,12
10570,61
10975,59
11416,34
10927,54
10361,125
10414,72
10460,8
10400,72
10474,78
11384,100
11311,10
11143,26
9865,39
11366,32
10557,45
9816,29
11425,14
11508,27
10187,83
11190,13
10259,12
11140,20
10269,15
10903,148
10055,58
11294,20
10863,29
10826,43
10822,29
10053,33
9736,41
11232,41
11071,7
11060,102
10215,7
10779,51
10887,64
10198,172
9852,10
10593,29
11455,44
10533,20
10114,48
10308,80
10915,43
11409,27
10406,19
11079,54
10615,12
9870,11
10171,21
10073,53
11036,98
11343,23
10780,51
11463,133
10847,66
10205,15
10338,5
11228,57
10532,31
10418,327
9954,31
9983,27
10312,122
11122,105
11252,24
9850,73
10448,28
9955,37
10778,29
10694,203
11177,23
9924,93
11149,77
10966,109
10149,53
9926,29
10365,10
10735,58
9918,31
10445,162
11030,78
10783,21
11256,11
10289,31
10494,16
11167,168
10202,83
11349,4
9917,53
10738,9
11485,21
11171,36
10380,53
9930,20
11433,80
10272,27
10052,58
10601,86
11168,30
11516,150
10415,11
10080,24
9940,11
10542,26
10026,13
10110,82
10527,53
10316,24
9941,86
10508,36
11146,41
9923,103
10416,14
10117,2
9898,101
10829,19
10952,7
10332,63
9981,23
11174,22
9760,28
10885,117
11048,52
9723,278
10693,135
10402,33
10239,108
11404,23
11229,16
10691,23
11524,9
11393,26
10957,60
11517,42
9902,21
10993,186
11335,59
11138,36
11161,49
10450,134
11162,27
10979,24
10981,35
9907,38
9868,8
10954,232
11160,33
9810,24
10431,22
10648,25
10378,19
9979,43
10764,3
11246,78
10294,6
10493,20
11373,37
10544,25
11266,24
10199,16
10044,40
10854,23
11265,15
11207,19
11059,3
10916,21
11288,36
11041,61
10033,43
10017,48
10866,149
10435,4
11224,157
10022,56
10356,14
10487,28
11344,20
11347,57
10671,76
10373,28
10765,26
10605,120
10785,45
10890,87
10471,73
11368,25
10848,52
10692,33
9864,22
10484,35
10799,31
10722,28
10475,103
10173,22
9771,63
9963,71
9938,94
10766,78
11537,11
10015,32
10742,164
11307,27
9964,88
11233,48
10172,67
10575,51
10077,69
10062,92
10800,18
9934,37
11147,76
10607,29
11383,21
10698,58
11178,14
11520,16
11192,39
10134,30
11385,29
10417,38
11359,58
10427,95
9975,13
10397,50
10477,74
10031,101
11417,54
11015,62
10889,10
9932,27
10891,29
10816,38
10355,54
10628,8
10175,23
10093,52
10724,18
11354,42
10392,13
10814,23
10759,18
9828,17
10006,29
10622,16
10130,190
10081,66
9746,37
10181,14
9718,41
11308,19
11006,29
10304,24
11243,85
9916,9
10592,15
9776,47
10407,19
11536,94
10801,26
11432,33
11049,90
9765,49
9931,91
9877,59
9858,43
10178,167
11144,18
9751,31
10309,58
11129,50
10197,34
9962,29
10632,12
11051,20
10805,73
10651,89
10588,54
11028,56
10842,18
10201,62
10812,51
11258,61
10364,22
10369,19
11074,77
10772,27
9842,71
10194,214
10452,105
10791,7
10004,110
10279,29
10590,28
10563,38
10005,19
9991,103
10930,35
10556,29
9859,39
9731,40
9829,25
10767,29
10449,64
11134,22
11338,15
11175,13
9995,92
10225,159
10924,23
10786,66
10914,12
10813,47
9774,110
10030,71
11089,14
9953,51
10645,28
10612,7
11217,27
9993,27
10793,11
10732,78
11472,9
10177,38
11141,116
10550,10
11269,59
10663,17
10769,40
10206,7
10653,7
11121,53
11336,30
10587,10
10024,38
10925,23
9839,21
11364,1
10920,8
11532,23
11034,26
10936,39
10507,16
10213,26
11360,45
10599,88
9947,76
11238,17
11305,53
10264,31
9830,116
9727,15
10108,155
10094,16
10446,92
11521,43
10516,23
10064,146
11157,22
11126,17
9872,100
10382,20
10347,67
9793,29
9798,49
10820,102
10111,65
10195,133
11306,9
9873,49
10695,68
11363,31
10744,49
11376,119
11370,47
10265,15
11479,20
10809,107
10154,11
9790,8
10844,17
9835,98
10409,85
11303,84
9799,36
10963,22
10606,46
9951,50
10476,55
11293,5
10377,128
11509,17
10687,29
10219,4
9949,16
11145,29
11222,23
10128,10
9853,22
11187,13
10597,48
10524,28
10919,10
10600,9
11510,19
11234,23
10192,63
10641,32
9897,41
9909,31
10876,11
10473,38
11070,25
10515,15
9785,4
10727,78
10529,41
9796,18
10680,33
10016,15
11012,31
10040,57
10938,17
10470,11
11436,5
10122,9
10574,23
10798,3
11072,25
11397,16
11287,8
10807,34
11332,25
11223,5
11130,30
11087,25
11052,51
10673,19
11272,23
11523,13
9957,14
10551,1
10904,61
10066,93
10941,19
11314,173
10976,31
10404,39
10646,58
10065,23
9770,32
10362,18
9797,22
9805,24
11164,25
10789,32
10136,11
9802,31
11097,18
10137,21
10898,4
10468,9
10335,28
10003,38
10317,32
11299,78
10421,22
10519,45
10250,38
10518,32
10852,14
10481,27
10032,23
11208,97
9840,95
10360,24
10685,9
9826,15
10959,27
10384,9
9846,15
10754,20
9956,27
9819,4
11506,10
11504,15
11421,40
10322,30
10849,11
9815,26
10741,11
10319,45
11301,10
10336,9
9813,158
9735,95
10443,54
10447,30
10166,2
11086,16
11221,15
10522,7
10410,104
10977,49
11105,30
10569,5
10420,43
10472,57
10217,32
11502,41
10594,31
10674,50
9861,29
10107,27
10917,8
10256,13
10357,7
11231,16
10584,17
11215,10
9786,10
10971,12
10179,49
9820,48
9874,14
10078,27
9780,16
9716,12
10285,15
10082,5
10961,42
10142,22
10818,15
11120,12
11195,25
10830,7
10399,30
9832,7
10467,14
10773,4
11255,34
11088,19
10688,29
10565,33
10746,52
10633,16
10700,9
10216,28
10562,39
11361,22
11075,107
11211,18
10465,14
10363,16
10325,24
10749,16
11185,34
11477,24
10323,28
10054,65
11031,51
10567,59
10517,2
11000,35
11013,53
10158,10
10441,42
10850,36
11406,3
9734,95
10478,16
11471,18
10832,50
10721,35
11478,20
10288,93
9996,5
9831,6
11522,17
10458,5
9890,10
10896,18
10072,13
10424,11
10838,4
10243,91
11226,12
10719,9
11367,7
10978,29
10381,10
10983,46
11076,6
10768,59
11125,3
11142,5
11444,13
9984,9
11491,22
10906,59
10370,61
10737,20
10282,84
10730,29
10247,20
10604,35
9856,39
10662,25
11248,48
11285,23
10794,8
10290,16
10277,21
9980,111
11475,7
10864,77
11040,11
11189,16
11342,14
9775,8
10806,8
11386,16
10640,22
10733,61
11461,32
10185,26
10696,10
9749,7
11324,19
10995,10
10725,57
10608,27
10643,3
10301,39
10777,6
9974,19
10953,13
10018,58
10394,8
10717,38
11423,8
10021,27
10266,16
10293,17
9972,45
10613,58
10884,49
9814,34
10547,28
10559,11
10221,31
9911,18
10753,35
10568,12
10710,23
10558,10
10253,22
10621,23
11241,53
9987,59
10429,22
10457,86
10419,5
10211,32
10939,12
11058,10
10358,16
10286,24
10235,13
10862,24
10041,19
10984,42
9755,19
10705,15
10255,8
9875,5
10681,47
11525,8
9841,34
10371,17
11529,6
9883,7
9811,25
10084,11
11369,5
10928,11
10922,47
11016,27
9759,29
10808,16
10223,24
11351,13
9994,9
10085,16
9862,8
11165,48
10437,7
11111,4
11483,24
10555,33
10619,15
10423,6
10770,21
11166,51
11110,27
10367,32
10105,44
10810,34
10644,7
10502,47
9901,17
10549,7
11152,53
9920,23
11374,8
9919,15
10958,25
10964,32
11395,10
10440,17
10795,13
10897,8
9910,27
10660,19
9866,6
10933,2
9721,50
10853,28
11452,22
10573,10
11334,32
9766,22
9740,103
10659,12
10505,23
10183,3
9933,3
11470,26
10510,16
10258,12
10092,8
11499,9
10859,31
10999,29
10389,10
10161,7
10784,27
10408,15
11038,17
9943,32
10873,27
11131,7
10167,30
10274,12
10023,24
11198,7
9778,41
10366,21
10028,6
11005,20
9844,7
11377,34
10346,4
10234,5
10894,27
10278,7
11206,20
10398,15
10489,25
10456,24
10193,44
9762,38
9812,29
10970,30
11494,74
9976,5
10539,10
10652,18
11254,9
11186,27
11322,53
10629,19
11465,13
10528,35
11466,28
10101,16
9848,11
